RUN case=model mame_commit=a5cc550d0a2cf7218cbd94c1a0780f7a713f8d8e
RUN rom_sha256=e262e6aa26ddf6c7c8aa02f636d422709309e0a08945739b84886204d1693e33
[:xdata] XDATA model storage=enabled unknown_read=open-bus-ff xram_approx=0000-03ff
Soft reset
[:maincpu] write of un-hooked port 3 fd
[:maincpu] write of un-hooked port 2 ff
[:xdata] XDATA first op=W addr=0329 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=032a pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=032b pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=032c pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=032d pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=032e pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=032f pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0330 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0331 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0332 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0333 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0334 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0335 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0336 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0337 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0338 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0339 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=033a pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=033b pc=8faf value=00 class=retained-xram-approx unknown=0
