Warning: -video none doesn't make much sense without -seconds_to_run
[:xdata] XEV seq=242 op=W addr=036b pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=243 op=W addr=036c pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=244 op=W addr=036d pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=245 op=W addr=036e pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=246 op=W addr=036f pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=247 op=W addr=0370 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=248 op=W addr=0371 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=249 op=W addr=0372 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=250 op=W addr=0373 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=251 op=W addr=0374 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=252 op=W addr=0375 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=253 op=W addr=0376 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=254 op=W addr=0377 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=255 op=W addr=0378 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=256 op=W addr=0379 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=257 op=W addr=037a pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=258 op=W addr=037b pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=259 op=W addr=037c pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=260 op=W addr=037d pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=261 op=W addr=037e pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=262 op=W addr=037f pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=263 op=W addr=0380 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=264 op=W addr=0381 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=265 op=W addr=0382 pc=8faf value=00 class=storage taint=0
